onset	duration	trial_type	key	RT
7	7	belief	0	0.0
20	7	belief	2	2.571
33	7	photo	1	3.937
46	7	belief	1	3.048
59	7	belief	1	2.543
72	7	photo	1	2.355
85	7	photo	2	3.555
98	7	belief	1	3.123
111	7	photo	2	2.43
124	7	belief	2	3.765
