onset	duration	trial_type	key	RT
7	7	belief	2	2.823
20	7	belief	2	3.408
33	7	photo	2	2.077
46	7	belief	2	3.562
59	7	belief	2	2.555
72	7	photo	1	2.477
85	7	photo	0	0.0
98	7	belief	1	2.556
111	7	photo	2	3.039
124	7	belief	1	1.873
