onset	duration	trial_type	key	RT
7	7	belief	2	3.338
20	7	belief	0	0.0
33	7	photo	1	2.916
46	7	belief	1	2.461
59	7	photo	1	3.226
72	7	belief	1	3.059
85	7	photo	1	2.982
98	7	belief	2	2.32
111	7	belief	1	1.932
124	7	photo	2	1.963
