onset	duration	trial_type	key	RT
7	7	belief	1	3.399
20	7	belief	2	2.642
33	7	photo	2	3.829
46	7	belief	0	0.0
59	7	belief	1	1.693
72	7	photo	1	2.453
85	7	photo	1	2.476
98	7	belief	2	2.768
111	7	photo	2	1.723
124	7	belief	1	2.125
