onset	duration	trial_type	key	RT
7	7	belief	0	0.0
20	7	belief	2	3.453
33	7	photo	2	1.732
46	7	belief	2	3.421
59	7	photo	1	2.01
72	7	belief	2	2.754
85	7	photo	0	0.0
98	7	belief	1	2.489
111	7	belief	1	1.965
124	7	photo	2	2.982
