onset	duration	trial_type	key	RT
7	7	belief	0	0.0
20	7	belief	2	3.502
33	7	photo	2	2.902
46	7	belief	2	2.242
59	7	belief	2	2.96
72	7	photo	0	0.0
85	7	photo	2	2.074
98	7	belief	2	3.453
111	7	photo	2	1.805
124	7	belief	1	1.912
