onset	duration	trial_type	key	RT
7	7	belief	2	3.577
20	7	belief	2	3.153
33	7	photo	0	0.0
46	7	belief	1	2.539
59	7	belief	1	3.086
72	7	photo	1	2.794
85	7	photo	1	3.188
98	7	belief	2	2.482
111	7	photo	2	1.968
124	7	belief	0	0.0
