onset	duration	trial_type	key	RT
7	7	belief	2	2.994
20	7	belief	2	3.263
33	7	photo	2	2.229
46	7	belief	1	2.966
59	7	photo	2	2.493
72	7	belief	2	3.027
85	7	photo	2	3.957
98	7	belief	1	2.659
111	7	belief	1	2.14
124	7	photo	2	3.254
