onset	duration	trial_type	key	RT
7	7	belief	0	0.0
20	7	belief	2	2.92
33	7	photo	0	0.0
46	7	belief	1	3.042
59	7	belief	1	2.95
72	7	photo	1	3.367
85	7	photo	2	2.564
98	7	belief	2	2.211
111	7	photo	2	1.639
124	7	belief	1	1.689
