onset	duration	trial_type	key	RT
7	7	belief	1	2.716
20	7	belief	2	3.116
33	7	photo	0	0.0
46	7	belief	1	3.122
59	7	belief	1	3.834
72	7	photo	2	3.831
85	7	photo	2	3.086
98	7	belief	2	2.365
111	7	photo	2	2.792
124	7	belief	1	3.685
