onset	duration	trial_type	key	RT
7	7	belief	2	2.51
20	7	belief	0	0.0
33	7	photo	1	3.975
46	7	belief	1	3.454
59	7	photo	1	3.513
72	7	belief	1	2.915
85	7	photo	2	3.58
98	7	belief	2	3.197
111	7	belief	1	3.471
124	7	photo	2	2.911
