onset	duration	trial_type	key	RT
7	7	belief	2	3.419
20	7	belief	2	3.401
33	7	photo	2	2.165
46	7	belief	0	0.0
59	7	photo	1	2.9
72	7	belief	0	0.0
85	7	photo	2	3.744
98	7	belief	1	3.029
111	7	belief	1	2.887
124	7	photo	2	3.832
