onset	duration	trial_type	key	RT
7	7	belief	2	2.69
20	7	belief	2	2.389
33	7	photo	2	1.648
46	7	belief	1	2.162
59	7	belief	2	2.248
72	7	photo	1	3.272
85	7	photo	2	1.737
98	7	belief	1	2.526
111	7	photo	2	2.254
124	7	belief	1	2.803
