onset	duration	trial_type	key	RT
7	7	belief	2	2.672
20	7	belief	2	3.921
33	7	photo	0	0.0
46	7	belief	1	1.764
59	7	photo	1	2.898
72	7	belief	1	1.957
85	7	photo	1	3.118
98	7	belief	2	2.154
111	7	belief	1	3.252
124	7	photo	2	2.111
