onset	duration	trial_type	key	RT
7	7	belief	2	2.081
20	7	belief	2	2.912
33	7	photo	2	1.489
46	7	belief	2	2.469
59	7	photo	1	2.338
72	7	belief	2	2.355
85	7	photo	0	0.0
98	7	belief	1	2.078
111	7	belief	2	2.422
124	7	photo	2	2.499
