onset	duration	trial_type	key	RT
7	7	belief	2	3.357
20	7	belief	1	3.176
33	7	photo	1	3.282
46	7	belief	1	2.652
59	7	photo	2	2.39
72	7	belief	1	3.719
85	7	photo	2	3.642
98	7	belief	2	2.637
111	7	belief	1	2.286
124	7	photo	2	2.156
