onset	duration	trial_type	key	RT
7	7	belief	2	3.67
20	7	belief	0	0.0
33	7	photo	2	1.891
46	7	belief	1	2.598
59	7	photo	1	2.514
72	7	belief	1	1.739
85	7	photo	2	3.761
98	7	belief	2	2.929
111	7	belief	2	2.676
124	7	photo	2	1.733
