onset	duration	trial_type	key	RT
7	7	belief	2	3.082
20	7	belief	2	3.285
33	7	photo	2	2.116
46	7	belief	1	2.987
59	7	belief	2	2.586
72	7	photo	1	2.184
85	7	photo	2	3.088
98	7	belief	1	3.27
111	7	photo	2	2.773
124	7	belief	1	2.351
