onset	duration	trial_type	key	RT
7	7	belief	0	0.0
20	7	belief	1	2.663
33	7	photo	2	2.64
46	7	belief	1	2.507
59	7	photo	1	1.812
72	7	belief	1	2.105
85	7	photo	2	1.932
98	7	belief	2	2.313
111	7	belief	1	1.789
124	7	photo	2	2.09
